date,MOP1,MOP2,method,folder_name,full_path,dem_path
20170301,590,612,VMZ2000_Truck,20170301_00590_00612_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170301_00590_00612_NoWaves_DelMar/Beach_And_Backshore/20170301_00590_00612_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170301_00590_00612_NoWaves_DelMar/Beach_And_Backshore/20170301_00590_00612_NoWaves_DelMar_beach_cliff_ground.tif
20170323,590,636,VMZ2000_Truck,20170323_00590_00636_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170323_00590_00636_NoWaves_DelMar/Beach_And_Backshore/20170323_00590_00636_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170323_00590_00636_NoWaves_DelMar/Beach_And_Backshore/20170323_00590_00636_NoWaves_DelMar_beach_cliff_ground.tif
20170329,590,620,VMZ2000_Truck,20170329_00590_00620_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170329_00590_00620_NoWaves_DelMar/Beach_And_Backshore/20170329_00590_00620_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170329_00590_00620_NoWaves_DelMar/Beach_And_Backshore/20170329_00590_00620_NoWaves_DelMar_beach_cliff_ground.tif
20170411,588,621,VMZ2000_Truck,20170411_00588_00621_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170411_00588_00621_NoWaves_DelMar/Beach_And_Backshore/20170411_00588_00621_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170411_00588_00621_NoWaves_DelMar/Beach_And_Backshore/20170411_00588_00621_NoWaves_DelMar_beach_cliff_ground.tif
20170420,590,622,VMZ2000_Truck,20170420_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170420_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170420_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170420_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170420_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
20170517,590,622,VMZ2000_Truck,20170517_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170517_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170517_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170517_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170517_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
20170613,590,622,VMZ2000_Truck,20170613_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170613_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170613_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170613_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170613_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
20170628,590,619,VMZ2000_Truck,20170628_00590_00619_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170628_00590_00619_NoWaves_DelMar/Beach_And_Backshore/20170628_00590_00619_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170628_00590_00619_NoWaves_DelMar/Beach_And_Backshore/20170628_00590_00619_NoWaves_DelMar_beach_cliff_ground.tif
20170713,589,622,VMZ2000_Truck,20170713_00589_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170713_00589_00622_NoWaves_DelMar/Beach_And_Backshore/20170713_00589_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170713_00589_00622_NoWaves_DelMar/Beach_And_Backshore/20170713_00589_00622_NoWaves_DelMar_beach_cliff_ground.tif
20170728,590,622,VMZ2000_Truck,20170728_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170728_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170728_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170728_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170728_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
20170811,590,622,VMZ2000_Truck,20170811_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170811_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170811_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170811_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170811_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
20170907,590,622,VMZ2000_Truck,20170907_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170907_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170907_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170907_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170907_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
20170919,590,622,VMZ2000_Truck,20170919_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170919_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170919_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20170919_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20170919_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
20171002,494,590,VMZ2000_Truck,20171002_00494_00590_NoWaves_Shores_Torrey,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171002_00494_00590_NoWaves_Shores_Torrey/Beach_And_Backshore/20171002_00494_00590_NoWaves_Shores_Torrey_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171002_00494_00590_NoWaves_Shores_Torrey/Beach_And_Backshore/20171002_00494_00590_NoWaves_Shores_Torrey_beach_cliff_ground.tif
20171004,590,708,VMZ2000_Truck,20171004_00590_00708_NoWaves_DelMar_Solana_Cardiff_SanElijo,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171004_00590_00708_NoWaves_DelMar_Solana_Cardiff_SanElijo/Beach_And_Backshore/20171004_00590_00708_NoWaves_DelMar_Solana_Cardiff_SanElijo_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171004_00590_00708_NoWaves_DelMar_Solana_Cardiff_SanElijo/Beach_And_Backshore/20171004_00590_00708_NoWaves_DelMar_Solana_Cardiff_SanElijo_beach_cliff_ground.tif
20171005,708,768,VMZ2000_Truck,20171005_00708_00768_NoWaves_Encinitas,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171005_00708_00768_NoWaves_Encinitas/Beach_And_Backshore/20171005_00708_00768_NoWaves_Encinitas_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171005_00708_00768_NoWaves_Encinitas/Beach_And_Backshore/20171005_00708_00768_NoWaves_Encinitas_beach_cliff_ground.tif
20171016,590,622,VMZ2000_Truck,20171016_00590_00622_NoWaves_DelMar,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171016_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20171016_00590_00622_NoWaves_DelMar_beach_cliff_ground.las,/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171016_00590_00622_NoWaves_DelMar/Beach_And_Backshore/20171016_00590_00622_NoWaves_DelMar_beach_cliff_ground.tif
