path,date,MOP1,MOP2,beach,method
/Volumes/group/LiDAR/VMQLZ_Truck/LiDAR_Processed_Level2/.20251204_00519_00567_1648_Blacks_NoWaves,.20251204,519,567,Blacks,VMQLZ_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171002_00494_00590_NoWaves_Shores_Torrey,20171002,494,590,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171221_00520_00567_NoWaves_Blacks,20171221,520,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20180301_00519_00567_NoWaves_Blacks,20180301,519,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20180326_00519_00567_NoWaves_Blacks,20180326,519,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20180615_00519_00590_NoWaves_Blacks_TP,20180615,519,590,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20180808_00519_00567_NoWaves_Blacks,20180808,519,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20180906_00519_00622_NoWaves_DelMarTorrey_Blacks,20180906,519,622,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20181008_00518_00592_0244_NoWaves_BlacksTorrey,20181008,518,592,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20181105_00519_00567_NoWaves_Blacks,20181105,519,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20181204_00519_00558_NoWaves_Blacks,20181204,519,558,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190123_00518_00591_1503_NoWaves_Blacks_Torrey,20190123,518,591,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190219_00519_00567_NoWaves_Blacks,20190219,519,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190323_00494_00559_NoWaves_LaJollaShores_Blacks,20190323,494,559,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190617_00519_00636_NoWaves_Blacks_Torrey_DelMar,20190617,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190722_00519_00636_NoWaves_Blacks_TP_DelMar,20190722,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190911_00519_00636_NoWaves_Blacks_TorreyDelMar,20190911,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190924_00519_00567_NoWaves_Blacks,20190924,519,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191017_00519_00636_NoWaves_Blacks_Torrey_DelMar,20191017,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar,20191112,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20191211_00518_00638_1253_NoWaves_BlacksTorreyDelmar,20191211,518,638,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200110_00519_00568_NoWaves_Blacks,20200110,519,568,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200205_00519_00568_NoWaves_Blacks,20200205,519,568,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200307_00519_00568_NoWaves_Blacks,20200307,519,568,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20200408_00519_00636_NoWaves_BlacksTorreyDelMar,20200408,519,636,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20200522_00520_00636_NoWaves_BlacksTorreyDelMar_miniRanger,20200522,520,636,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20200624_00518_00639_0602_NoWaves_BlacksTorreyDelMar_miniRanger,20200624,518,639,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200723_00518_00638_0458_NoWaves_BlacksTorreyDelMar,20200723,518,638,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200820_00519_00636_NoWaves_Blacks_Torrey_Delmar,20200820,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200918_00519_00636_NoWaves_Blacks_Torrey_Delmar,20200918,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20201020_00519_00636_NoWaves_Blacks_Torrey_Delmar,20201020,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20201118_00519_00636_NoWaves_Blacks_Torrey_Delmar,20201118,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20201217_00519_00636_NoWaves_BlacksTorreyDelMar,20201217,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210208_00519_00636_NoWaves_BlacksTorreyDelMar,20210208,519,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210308_00493_00592_1128_NoWaves_LJshores_Blacks_Torrey,20210308,493,592,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210421_00519_00560_1339_NoWaves_Blacks,20210421,519,560,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210504_00519_00580_NoWaves_Blacks,20210504,519,580,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210601_00519_00590_NoWaves_BlacksTorrey,20210601,519,590,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210715_00519_00567_NoWaves_Blacks,20210715,519,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210809_00518_00638_0313_NoWaves_BlacksTorreyDelMar,20210809,518,638,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210908_00493_00592_0310_NoWaves_Shores_Blacks_Torrey,20210908,493,592,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211005_00518_00567_1532_NoWaves_Blacks,20211005,518,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211103_00518_00560_1543_NoWaves_Blacks,20211103,518,560,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211206_00518_00569_1659_NoWaves_Blacks,20211206,518,569,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20220120_00518_00638_1450_NoWaves_Blacks_Torrey_DelMar,20220120,518,638,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20220218_00518_00567_1519_NoWaves_Blacks_miniRanger,20220218,518,567,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220314_00519_00636_0000_NoWaves_Blacks_Torrey_DelMar_miniRanger,20220314,519,636,Blacks,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220418_00493_00570_0516_NoWaves_Blacks_Scripps_LaJollaShores,20220418,493,570,Blacks,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220422_00519_00638_0000_NoWaves_Blacks_Torrey_DelMar_miniRanger,20220422,519,638,Blacks,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220518_00519_00639_0454_OLDNoWaves_Blacks_Torrey_DelMar_MiniRanger,20220518,519,639,Blacks,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220518_00519_00639_0454_NoWaves_Blacks_Torrey_DelMar_MiniRanger,20220518,519,639,Blacks,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220615_00519_00666_0443_NoWavess_Blacks_Torrey_DelMar_Solana_MiniRanger,20220615,519,666,Blacks,MiniRanger_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20220712_00518_00637_0049_NoWaves_Blacks_Torrey_DelMar,20220712,518,637,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20220810_00518_00636_0233_NoWaves_Blacks_Torrey_DelMar,20220810,518,636,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20220926_00518_00638_1423_NoWaves_Blacks_Torrey_DelMar,20220926,518,638,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20221012_00518_00567_1521_NoWaves_Blacks,20221012,518,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20221121_00518_00637_1115_NoWaves_Blacks_Torrey_DelMar,20221121,518,637,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20221206_00518_00638_1408_NoWaves_Blacks_Torrey_DelMar,20221206,518,638,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230106_00518_00684_1334__NoWaves_Blacks_Torrey_DelMar_Solana_Cardiff,20230106,518,684,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20230120_00518_00732_1258__NoWaves_Blacks_Torrey_Del_Mar_Cardiff_Encinitas,20230120,518,732,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230120_00518_00732_1258_NoWaves_Blacks_Torrey_Del_Mar_Cardiff_Encinitas,20230120,518,732,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230124_00494_00567_1612_NoWaves_LJShores_Blacks,20230124,494,567,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230202_00518_00683_1235_NoWaves_Blacks_Cardiff,20230202,518,683,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20230207_00520_00559_1319_NoWaves_Blacks_miniRanger,20230207,520,559,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230217_00518_00684_1141_NoWaves_DelMar_Solana,20230217,518,684,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20230403_00521_00559_1347_NoWaves_Blacks_miniRanger,20230403,521,559,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230417_00494_00637_1230_NoWaves_LJShores_DelMar,20230417,494,637,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230606_00519_00684_0544_NoWaves_Blacks_Torrey_Cardiff,20230606,519,684,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230616_00518_00560_1304_NoWaves_Blacks,20230616,518,560,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230718_00519_00768_0357_NoWaves_Blacks_Encinitas,20230718,519,768,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230804_00519_00570_0639_NoWaves_Blacks,20230804,519,570,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230901_00519_00592_0513_NoWaves_Blacks_Torrey,20230901,519,592,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20230929_00494_00666_0301_NoWaves_LJShores_Solana,20230929,494,666,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20231116_00519_00745_1542_NoWaves_Blacks_Encinitas,20231116,519,745,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20231213_00519_00667_1400_NoWaves_Blacks_Solana,20231213,519,667,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20240119_00494_00684_1050_NoWaves_LJShores_Cardiff,20240119,494,684,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20240125_00519_00702_1431_NoWaves_Blacks_SouthSanElijo_miniRanger_epoch2010_geoid12b,20240125,519,702,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20240208_00519_00560_1410_NoWaves_Blacks_miniRanger,20240208,519,560,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20240309_00518_00592_1410_NoWaves_Blacks_Torrey,20240309,518,592,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20240411_00519_00567_0506_NoWaves_Blacks_miniRanger,20240411,519,567,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20240510_00518_00666_0452_NoWaves_Blacks_Torrey_Extended,20240510,518,666,Blacks,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20240627_00519_00769_0630_NoWaves_Blacks_Encinitas_miniRanger,20240627,519,769,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMQLZ_Truck/LiDAR_Processed_Level2/20240723_00518_00567_0559_Blacks_NoWaves,20240723,518,567,Blacks,VMQLZ_Truck
/Volumes/group/LiDAR/VMQLZ_Truck/LiDAR_Processed_Level2/20240821_00518_00567_0542_Blacks_NoWaves,20240821,518,567,Blacks,VMQLZ_Truck
/Volumes/group/LiDAR/VMQLZ_Truck/LiDAR_Processed_Level2/20240917_00493_00569_1555_LJShores_Blacks_NoWaves,20240917,493,569,Blacks,VMQLZ_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20240930_00519_00568_1356__NoWaves_Blacks_miniRanger,20240930,519,568,Blacks,MiniRanger_ATV
/Volumes/group/LiDAR/VMQLZ_Truck/LiDAR_Processed_Level2/20241016_00518_00567_1605_Blacks_NoWaves,20241016,518,567,Blacks,VMQLZ_Truck
