path,date,MOP1,MOP2,beach,method
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20171005_00708_00768_NoWaves_Encinitas,20171005,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20180329_00708_00768_NoWaves_Encinitas,20180329,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20181010_00708_00768_NoWaves_Encinitas,20181010,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190228_00708_00768_NoWaves_Encinitas,20190228,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190228_00716_00777_NoWaves_SouthCarlsbad,20190228,716,777,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190320_00708_00768_NoWaves_Encinitas,20190320,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190425_00708_00768_NoWaves_Encinitas,20190425,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190730_00708_00768_NoWaves_Encinitas,20190730,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20190926_00708_00768_NoWaves_Encinitas,20190926,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200306_00708_00768_NoWaves_Encinitas,20200306,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_ATV/LiDAR_Processed_Level2/20200415_00707_00768_NoWaves_Encinitas_miniRanger_geoid_applied,20200415,707,768,Encinitas,MiniRanger_ATV
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20200915_00708_00768_NoWaves_Encinitas,20200915,708,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210126_00567_00768_NoWaves_NorthCountyRadar,20210126,567,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210311_00706_00761_0000_NoWaves_Encinitas,20210311,706,761,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20210914_00682_00769_2148_NoWaves_SanElijo_Encinitas,20210914,682,769,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211106_00707_00766_0000_NoWaves_Encinitas_Slide,20211106,707,766,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211122_00567_00764_1548_NoWaves_Torrey_DM_Solana_SElijo_Enc,20211122,567,764,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211213_00567_00769_0935_NoWaves_Torrey_Encinitas,20211213,567,769,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211217_00567_00766_1323_NoWaves_Torrey_Encinitas,20211217,567,766,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20211221_00567_00766_1517_NoWaves_Torrey_Encinitas,20211221,567,766,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20220104_00565_00766_1516_NoWaves_Torrey_Encinitas,20220104,565,766,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20220111_00636_00767_1254_NoWaves_Solana_Encinitas,20220111,636,767,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/VMZ2000_Truck/LiDAR_Processed_Level2/20220114_00682_00768_1442_NoWaves_SanElijo_Encinitas,20220114,682,768,Encinitas,VMZ2000_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220203_00567_00768_1438_NoWaves_Torrey_Encinitas_miniRanger,20220203,567,768,Encinitas,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220210_00567_00766_1101_NoWaves_Torrey_Encinitas_miniRanger,20220210,567,766,Encinitas,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220215_00635_00768_1337_NoWaves_SolanaCardiffSanElijoEncinitas_miniRanger,20220215,635,768,Encinitas,MiniRanger_Truck
/Volumes/group/LiDAR/MiniRanger_Truck/LiDAR_Processed_Level2/20220301_00567_00768_1247_NoWaves_TorreyExtended_MiniRanger,20220301,567,768,Encinitas,MiniRanger_Truck
